model,target_type,phase,oxide,rel_error,n,median_abs_effect,mean_abs_effect,p90_abs_effect,p95_abs_effect,max_abs_effect,median_signed_effect,mean_signed_effect,qc_failed_n,clipped_to_zero_n,zero_value_no_effect_n
Chi23,P,cpx,MgO_cpx,0.01,294.0,0.0,0.05952380952380948,0.1000000000000005,0.2000000000000001,0.3000000000000007,0.0,0.0044217687074830075,2.0,0.0,0.0
Chi23,P,cpx,MnO_cpx,0.005,296.0,0.0,0.000675675675675673,0.0,0.0,0.0999999999999996,0.0,0.0,0.0,0.0,0.0
Chi23,P,cpx,MnO_cpx,0.01,296.0,0.0,0.0013513513513513473,0.0,0.0,0.1,0.0,1.4065325480893031e-18,0.0,0.0,0.0
Chi23,P,cpx,Na2O_cpx,0.005,296.0,0.0,0.009121621621621613,0.0,0.1,0.1000000000000005,0.0,0.0016891891891891945,0.0,0.0,0.0
Chi23,P,cpx,Na2O_cpx,0.01,296.0,0.0,0.015202702702702688,0.0999999999999996,0.1,0.1000000000000005,0.0,0.0030405405405405424,0.0,0.0,0.0
Chi23,P,cpx,NiO_cpx,0.005,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Chi23,P,cpx,NiO_cpx,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0
Chi23,P,cpx,SiO2_cpx,0.005,292.0,0.0999999999999996,0.06506849315068487,0.1000000000000005,0.2000000000000001,0.3000000000000007,0.0,0.0075342465753424695,4.0,0.0,0.0
Chi23,P,cpx,SiO2_cpx,0.01,288.0,0.1,0.1302083333333333,0.2999999999999998,0.3999999999999999,0.6000000000000005,0.0,0.008680555555555573,8.0,0.0,0.0
Chi23,P,cpx,TiO2_cpx,0.005,296.0,0.0,0.003040540540540538,0.0,0.0,0.1,0.0,0.0003378378378378376,0.0,0.0,0.0
Chi23,P,cpx,TiO2_cpx,0.01,296.0,0.0,0.0081081081081081,0.0,0.1,0.1000000000000005,0.0,0.0013513513513513484,0.0,0.0,0.0
Chi23,P,liq,Al2O3_liq,0.01,296.0,0.0999999046325683,0.06182432094135797,0.1000001430511474,0.1000001430511474,0.5,0.0,0.0043918941472027755,0.0,0.0,0.0
Chi23,P,liq,Al2O3_liq,0.02,296.0,0.1000001430511474,0.12601350972781306,0.2000000476837158,0.2000002861022949,1.0,0.0,0.002364851735733639,0.0,0.0,0.0
Chi23,P,liq,Al2O3_liq,0.03,296.0,0.2000000476837158,0.19020269811153412,0.3000001907348633,0.3000001907348633,1.5,0.0,0.007094586620459685,0.0,0.0,0.0
Chi23,P,liq,CaO_liq,0.01,296.0,0.0,0.018243245176366846,0.0999999046325683,0.1000001430511474,0.2000002861022949,0.0,0.0033783767674420307,0.0,0.0,0.0
Chi23,P,liq,CaO_liq,0.02,296.0,0.0,0.03817567954192288,0.1000001430511474,0.1000001430511474,0.3000001907348633,0.0,0.0037162142830926017,0.0,0.0,0.0
Chi23,P,liq,CaO_liq,0.03,296.0,0.0999999046325683,0.05405405566499037,0.1000001430511474,0.1000001430511474,0.5,0.0,0.005405403472281788,0.0,0.0,0.0
Chi23,P,liq,FeO_liq,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,FeO_liq,0.02,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,FeO_liq,0.03,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,K2O_liq,0.01,296.0,0.0,0.006756759173161272,0.0,0.0999999046325683,0.1000003814697265,0.0,8.054681726404139e-10,0.0,0.0,0.0
Chi23,P,liq,K2O_liq,0.02,296.0,0.0,0.013851353445568591,0.0999999046325683,0.1000001430511474,0.1000003814697265,0.0,0.00033783509924605086,0.0,0.0,0.0
Chi23,P,liq,K2O_liq,0.03,296.0,0.0,0.022297296975110015,0.0999999046325683,0.1000001430511474,0.1000003814697265,0.0,0.003378375156505685,0.0,0.0,0.0
Chi23,P,liq,MgO_liq,0.01,296.0,0.0,0.005743244209805047,0.0,0.0999999046325683,0.1000001430511474,0.0,0.0016891908001255337,0.0,0.0,0.0
Chi23,P,liq,MgO_liq,0.02,296.0,0.0,0.013175674386926592,0.0999999046325683,0.0999999046325683,0.1000001430511474,0.0,0.0016891908001255337,0.0,0.0,0.0
Chi23,P,liq,MgO_liq,0.03,296.0,0.0,0.021283785233626482,0.0999999046325683,0.1000001430511474,0.2000002861022949,0.0,0.002364866636894844,0.0,0.0,0.0
Chi23,P,liq,MnO_liq,0.01,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,MnO_liq,0.02,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,MnO_liq,0.03,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chi23,P,liq,Na2O_liq,0.01,296.0,0.0,0.02162162194380888,0.0999999046325683,0.1000001430511474,0.1000003814697265,0.0,0.005405400250409097,0.0,0.0,0.0
Chi23,P,liq,Na2O_liq,0.02,296.0,0.0,0.042905407177435365,0.1000001430511474,0.1000001430511474,0.2000002861022949,0.0,0.005067565151163047,0.0,0.0,0.0
Chi23,P,liq,Na2O_liq,0.03,296.0,0.0999999046325683,0.06114864913192953,0.1000001430511474,0.1000001430511474,0.3000001907348633,0.0,0.0023648650259584995,0.0,0.0,0.0
Chi23,P,liq,SiO2_liq,0.01,296.0,0.0,0.033445949490005886,0.1000001430511474,0.1000001430511474,0.3000001907348633,0.0,0.0016891948274663962,0.0,0.0,0.0
Chi23,P,liq,SiO2_liq,0.02,296.0,0.0999999046325683,0.06722972964918289,0.1000001430511474,0.1000003814697265,0.5999999046325684,0.0,0.004391887300723308,0.0,0.0,0.0
Chi23,P,liq,SiO2_liq,0.03,296.0,0.0999999046325683,0.09864864679607183,0.2000000476837158,0.2000000476837158,0.9000000953674316,0.0,0.0060810684352307735,0.0,0.0,0.0
Chi23,P,liq,TiO2_liq,0.01,296.0,0.0,0.0003378375156505686,0.0,0.0,0.0999999046325683,0.0,0.0003378375156505686,0.0,0.0,0.0
Chi23,P,liq,TiO2_liq,0.02,296.0,0.0,0.0003378375156505686,0.0,0.0,0.0999999046325683,0.0,0.0003378375156505686,0.0,0.0,0.0
Chi23,P,liq,TiO2_liq,0.03,296.0,0.0,0.0006756750313011372,0.0,0.0,0.0999999046325683,0.0,0.0,0.0,0.0,0.0
Chi23,T,cpx,Al2O3_cpx,0.005,296.0,0.0,0.07094594594594594,0.0,1.0,1.0,0.0,-0.010135135135135136,0.0,0.0,0.0
Chi23,T,cpx,Al2O3_cpx,0.01,296.0,0.0,0.17229729729729729,1.0,1.0,1.0,0.0,-0.0033783783783783786,0.0,0.0,0.0
